source,target,tgt_lng
Analog Circuit Design,模拟电路设计,
A Tutorial Guide to Applications and Solutions,应用与解决方案教程指南,
Bob Dobkin,鲍勃·多布金,
Jim Williams,吉姆·威廉姆斯,
Amsterdam,阿姆斯特丹,
Boston,波士顿,
Heidelberg,海德堡,
London,伦敦,
New York,纽约,
Oxford,牛津,
Paris,巴黎,
San Diego,圣地亚哥,
San Francisco,旧金山,
Singapore,新加坡,
Sydney,悉尼,
Tokyo,东京,
Newnes,纽尼斯,
Elsevier,爱思唯尔,
The Boulevard,林福德大道,
Langford Lane,林福德巷,
Kidlington,基德灵顿,
OX5 1GB,OX5 1GB,
UK,英国,
225 Wyman Street,怀曼街225号,
Waltham,沃尔瑟姆,
MA,马萨诸塞州,
02451,02451,
USA,美国,
First edition 2011,第一版，2011年,
Linear Technology Corporation,凌力尔特公司,
"Copyright, Designs and Patents Act 1988",1988年版权、设计与专利法,
British Library,大英图书馆,
Library of Congress,美国国会图书馆,
ISBN: 978-0-12-385185-7,ISBN：978-0-12-385185-7,
LM334,LM334,
100°C,100摄氏度,
1kHz,1千赫兹,
Figure 20.2,图20.2,
type K thermocouple,K型热电偶,
cold junction compensation,冷端补偿,
0°C to 60°C,0摄氏度至60摄氏度,
LTC1052,LTC1052,
chopper-stabilized amplifier,斩波稳定放大器,
74C04,74C04,
LTC1043,LTC1043,
1mF,1毫法,
100pF,100皮法,
3300pF,3300皮法,
thermistor,热敏电阻,
LT1004,LT1004,
1.2V reference,1.2伏参考源,
Figure 20.3,图20.3,
33k-0.68mF,33千欧-0.68毫法,
820pF,820皮法,
20ppm/°C,20 ppm/°C,
0°C to 70°C,0°C至70°C,
Figure 33.37,图33.37,
"Probes A, B, E, and F",探头A、B、E和F,
FET probe,场效应晶体管探头,
separated FET probe attenuator head,分离式场效应晶体管探头衰减器头,
current probe,电流探头,
finger probes,手指探头,
ground strap,接地带,
probe manufacturers,探头制造商,
oscilloscope,示波器,
25 years ago,25年前,
150MHz bandwidth,150 MHz带宽,
50MHz oscilloscope,50 MHz示波器,
100MHz–200MHz region,100 MHz–200 MHz频段,
5ns rise time pulse,5纳秒上升时间脉冲,
2ns delay,2纳秒延迟,
LM329,LM329,
0°C to 100°C,0°C至100°C,
strain gauge transducer,应变片式传感器,
Figure 20.1,图20.1,
A-to-D,模数转换,
A1-optocoupler-enforced feedback loop,A1-光耦强制反馈环路,
Aperture jitter,孔径抖动,
AT-cut crystals,AT切型晶体,
Auto-zero bias,自动调零偏置,
Auto-zero locks sample interval,自动调零锁定采样间隔,
Auto-zero related waveforms,自动调零相关波形,
Auxiliary circuits DAC settling time work,辅助电路DAC建立时间工作,
Avalanche photodiodes (APDs),雪崩光电二极管（APDs）,
Avalanche pulse generators,雪崩脉冲发生器,
Avalanche pulser,雪崩脉冲器,
Bandgap reference,带隙基准,
Bandpass filter,带通滤波器,
Bang-bang control loop,bang-bang 控制环路,
Barometric sensor’s temperature sensitivity,气压传感器温度灵敏度,
"Basic connections, to device under test",基本连接（至被测器件）,
Battery backup glitchless memory,电池备份无毛刺存储器,
Battery stack voltage measurement,电池组电压测量,
Battery systems,电池系统,
Bessel bandpass filters (BPF),贝塞尔带通滤波器（BPF）,
Bias/offset probe,偏置/失调探头,
BICMOS switching regulator,双极互补金属氧化物半导体开关稳压器,
"Bipolar amplifiers, low noise",低噪声双极型放大器,
Black box vicor module,黑盒Vicor模块,
BNC adaptor,BNC转接器,
BNC coaxial terminators,BNC同轴终端器,
BNC connections,BNC连接,
BNC-to-GR874 adaptor,BNC至GR874转接器,
Board leakage,电路板漏电,
Boost converters,升压变换器,
Boosted Op Amp drives,增强型运算放大器驱动,
Booster circuit loop stability,升压器电路环路稳定性,
"Booster’s response, amplifier’s loop",升压器响应、放大器环路,
Boost regulator/chargepump,升压稳压器/电荷泵,
Bootstrapped power supply scheme,自举电源方案,
Bootstraps,自举,
Bowtie/butterfly method,领结/蝴蝶法,
Box method,方框法,
Breadboarding technique,面包板搭建技术,
Bridge-based crystal oscillator waveforms,基于电桥的晶体振荡器波形,
Bridge-based transducers,基于电桥的传感器,
Bridge circuits,电桥电路,
AC driven bridge for level transduction,用于液位传感的交流驱动电桥,
AC driven bridge/synchronous demodulator,交流驱动电桥/同步解调器,
"bridge interfaces, some practical considerations for",电桥接口的实际考虑因素,
"bridge oscillator, square wave output",电桥振荡器（方波输出）,
bridge output amplifiers,电桥输出放大器,
bridge readout,电桥读出,
common mode suppression techniques,共模抑制技术,
continuous output sampled bridge signal conditioner,连续输出采样电桥信号调理器,
threshold,阈值,
voltage-controlled delay,压控延时,
Complete sub-ppm linearity voltage source,全范围亚ppm线性度电压源,
Conceptual feedback controlled step-down regulator,概念型反馈控制降压稳压器,
Conceptual instrumentation amplifier,概念型仪表放大器,
Conceptual loop-based 20-bit DAC,概念型环路式20位数模转换器,
Conceptual mercury wetted reed relay pulse generator,概念型汞湿簧片继电器脉冲发生器,
5V powered strain gauge signal conditioner,5V供电应变片信号调理器,
Conductors,导体,
current-carrying,载流,
ferrite bead enclosed,内置铁氧体磁珠,
inductance for,电感量,
magnetic field,磁场,
Ohmic losses in,欧姆损耗,
physical separation,物理隔离,
resistance wire center,电阻丝中心,
Constantcurrent battery charger,恒流电池充电器,
Contact temperature sensors,接触式温度传感器,
Continuous coaxial signal path,连续同轴信号路径,
Continuous function linearization,连续函数线性化,
Continuous wave (CW) signals,连续波（CW）信号,
Control voltage vs. output frequency,控制电压与输出频率关系,
10W low noise 5V-to-12V converter,10W低噪声5V至12V转换器,
3.3V/100A six-phase converter,3.3V/100A六相转换器,
Convert-start signal,启动转换信号,
Copper clad board banana jacks,铜覆板香蕉插座,
soldered,焊接式,
"Counter driven, sine encoded memory",计数器驱动正弦编码存储器,
Coupling,耦合,
Crcuit’s voltage reference,电路电压基准,
CRT display,阴极射线管显示器,
waveforms,波形,
Crystal filter,晶体滤波器,
response,响应,
Crystal oscillators,晶体振荡器,
Cuk converters,库克变换器,
Current clamp,电流钳位,
consumption vs. frequency,功耗与频率关系,
feedback,反馈,
flowing,流动,
limit,限流,
limit sense resistor,限流检测电阻,
loop transmitter,环路变送器,
floating output option for,浮地输出选项,
4-20mA,4–20mA,
measurement clip-on current probe,测量用钳形电流探头,
current shunts and isolated probe,电流分流器与隔离探头,
hall stabilized and transformer,霍尔稳定与变压器式,
techniques and equipment for,相关技术与设备,
monitor,监测器,
probes,探头,
sharing among parallel regulators,并联稳压器间电流共享,
shunts,分流器,
single wire case,单线制情况,
slew control,压摆率控制,
"source, dynamic response of",电源动态响应,
transformer,变压器,
two wire case,两线制情况,
Current-sharing mechanism,电流共享机制,
Current source waveforms,电流源波形,
Current-to-voltage input amplifier,电流-电压输入放大器,
Cutoff frequency,截止频率,
Damper caps,阻尼电容,
Damper network,阻尼网络,
Damping,阻尼,
DC circuit operation,直流电路工作,
DC/DC circuit,DC/DC电路,
controller,控制器,
controller MOSFET,控制器MOSFET,
conversion,转换,
converter,转换器,
"design, innovation",设计创新,
criteria,设计准则,
DC/DC module regulators,DC/DC模块稳压器,
48A from four parallel,四路并联输出48A,
bottom layer planes,底层平面,
current share to regulate 1.5V,电流共享以调节1.5V输出,
layout,布局,
LGA packaging and power planes,LGA封装与电源平面,
60W by paralleling four,四路并联输出60W,
switching waveforms,开关波形,
thermograph,热成像图,
top layer planes,顶层平面,
"VOUT, RFB and number of modules (n), relationship",输出电压、反馈电阻与模块数量关系,
DC-to-1Hz noise test circuit,DC至1Hz噪声测试电路,
4-Decade Kelvin-Varley divider,4档凯尔文-瓦里分压器,
Decoupling capacitor,去耦电容,
Delay errors,延时误差,
Delta sigma ADC bridge measurement techniques,ΔΣ ADC电桥测量技术,
"ADC response, to amplifier noise",ADC对放大器噪声的响应,
amplifier’s input noise,放大器输入噪声,
bridge measurement circuit,电桥测量电路,
linear technology,凌力尔特公司,
"low cost, precision altimeter uses direct digitization",低成本高精度高度计采用直接数字化,
LTC2440,LTC2440,
faster/more resolution,更高转换速率/更高分辨率,
number of bits,位数,
Omega LC1001 series,欧米茄LC1001系列,
resolution with amplifiers,配合放大器的分辨率,
Demonstration board,演示板,
Device under test (DUT),被测器件（DUT）,
diagram,示意图,
Dielectric constant,介电常数,
Differential line receiver,差分线路接收器,
Differential nonlinearity (DNL),微分非线性（DNL）,
Differential plug-ins,差分插件,
oscilloscope plug-ins,示波器插件,
Differential probe and 10X attenuator,差分探头与10倍衰减器,
Digitally corrected platinum resistance bridge,数字校正铂电阻电桥,
Digitally linearized platinum RTD signal conditioner,数字线性化铂电阻温度检测器（RTD）信号调理器,
"Churchill, Winston S.",丘吉尔，温斯顿·S.,
The Few,少数人,
Royal Airforce,英国皇家空军,
House of Commons,英国下议院,
August 20th 1940,1940年8月20日,
"Zettler, R.",泽特勒，R.,
"Cowley, A. M.",考利，A. M.,
Hybrid Hot Carrier Diodes,混合热载流子二极管,
Hewlett-Packard Journal,惠普期刊,
February 1969,1969年2月,
Motorola Inc.,摩托罗拉公司,
Motorola Rectifier Applications Handbook,摩托罗拉整流器应用手册,
1993,1993年,
RCA RF/Microwave Devices,RCA射频/微波器件,
RCA,RCA公司,
1975,1975年,
"Chessman, M.",切斯曼，M.,
"Sokol, N.",索科尔，N.,
Prevent Emitter-Follower Oscillation,防止射极跟随器振荡,
Electronic Design,电子设计,
21 June 1976,1976年6月21日,
"DeBella, G. B.",德贝拉，G. B.,
Stability of Capacitively-Loaded Emitter Followers– a Simplified Approach,电容负载射极跟随器稳定性——一种简化方法,
April 1966,1966年4月,
"Hamilton, D. J.",汉密尔顿，D. J.,
"Shaver, F. H.",谢弗，F. H.,
"Griffith, P. G.",格里菲斯，P. G.,
Avalanche Transistor Circuits for Generating Rectangular Pulses,用于产生矩形脉冲的雪崩晶体管电路,
Electronic Engineering,电子工程,
December 1962,1962年12月,
"Seeds, R. B.",西兹，R. B.,
Technical Report No. 1653-1,技术报告第1653-1号,
"August 5, 1960",1960年8月5日,
Solid-State Electronics Laboratory,固态电子学实验室,
Stanford Electronics Laboratories,斯坦福电子实验室,
Stanford University,斯坦福大学,
"Stanford, California",加利福尼亚州斯坦福,
"Beale, J. R. A.",比尔，J. R. A.,
A Study of High Speed Avalanche Transistors,高速雪崩晶体管研究,
Proc. I.E.E.,《英国电气工程师学会会刊》,
July 1957,1957年7月,
"Braatz, Dennis.",布拉茨，丹尼斯,
Private Communication,私人通信,
"Tektronix, Inc.",泰克公司,
2003,2003年,
Type 111 Pretrigger Pulse Generator Operating and Service Manual,111型预触发脉冲发生器操作与维修手册,
1960,1960年,
"Haas, Isy.",哈斯，伊西,
Millimicrosecond Avalanche Switching Circuit Utilizing Double-Diffused Silicon Transistors,利用双扩散硅晶体管的毫微秒级雪崩开关电路,
Fairchild Semiconductor,仙童半导体公司,
Application Note 8/2,应用笔记8/2,
December 1961,1961年12月,
"Beeson, R. H.",比森，R. H.,
"Grinich, V. H.",格里尼奇，V. H.,
Thermal Response of Transistors in Avalanche Mode,雪崩模式下晶体管的热响应,
Technical Paper 6,技术论文6,
October 1959,1959年10月,
"Chaplin, G. B. B",查普林，G. B. B,
1958 IRE-AIEE Solid State Circuits Conference,1958年IRE-AIEE固态电路会议,
"Philadelphia, PA.",宾夕法尼亚州费城,
February 1958,1958年2月,
Avalanche Mode Switching,雪崩模式开关,
Motorola Transistor Handbook,摩托罗拉晶体管手册,
1963,1963年,
Chapter 9,第9章,
pp. 285-304,第285–304页,
"Williams, Jim.",威廉姆斯，吉姆,
A Seven-Nanosecond Comparator for Single Supply Operation,适用于单电源工作的七纳秒比较器,
"Programmable, Subnanosecond Delayed Pulse Generator",可编程亚纳秒延迟脉冲发生器,
May 1998,1998年5月,
Application Note 72,应用笔记72,
pp. 32–34,第32–34页,
"Power Conversion, Measurement and Pulse Circuits",电源转换、测量与脉冲电路,
Application Note 113,应用笔记113,
August 2007,2007年8月,
"Moll, J.L.",莫尔，J. L.,
Avalanche Transistors as Fast Pulse Generators,作为快速脉冲发生器的雪崩晶体管,
Vol 106,第106卷,
Part B,B辑,
Supplement 17,第17号增刊,
1959,1959年,
pp. 1082 to 1084,第1082–1084页,
Circuitry for Signal Conditioning and Power Conversion,信号调理与电源转换电路,
March 1999,1999年3月,
Application Note 75,应用笔记75,
"Signal Sources, Conditioners and Power Circuitry",信号源、调理器与电源电路,
November 2004,2004年11月,
Application Note 98,应用笔记98,
Practical Circuitry for Measurement and Control Problems,测量与控制问题的实用电路,
August 1994,1994年8月,
Application Note 61,应用笔记61,
Measurement and Control Circuit Collection,测量与控制电路集,
June 1991,1991年6月,
Application Note 45,应用笔记45,
Slew Rate Verification for Wideband Amplifiers,宽带放大器压摆率验证,
Linear power supplies,线性电源,
W300V,W300V,
analog computers,模拟计算机,
operational amplifiers,运算放大器,
solid state linear components,固态线性元件,
early 1960s,20世纪60年代初,
W15V,W15V,
Zener and avalanche diodes,齐纳二极管和雪崩二极管,
monolithic linear circuits,单片线性电路,
late 1960s,20世纪60年代后期,
12-bit W15V system,12位W15V系统,
LC filters,LC滤波器,
RC filtering,RC滤波,
Figure 24.24,图24.24,
Noise Averaging Oscilloscope,噪声平均示波器,
1ppm,1 ppm,
10mV,10mV,
Settling Time Measurement,建立时间测量,
Bandlimiting Filter,带限滤波器,
Photo A,照片A,
Overdamped Response,过阻尼响应,
Underdamped Response,欠阻尼响应,
Optimum Response,最佳响应,
Averaging,平均,
DAC Dynamics,DAC动态特性,
4ms,4ms,
6ms,6ms,
Fractional LSB Tailing,分数LSB拖尾,
"Williams, Jim",吉姆·威廉姆斯,
Component and Measurement Advances Ensure 16-Bit DAC Settling Time,元器件与测量技术进步确保16位DAC建立时间,
Application Note 74,应用笔记74,
July 1998,1998年7月,
Measuring 16-Bit Settling Times: The Art of Timely Accuracy,16位建立时间测量：及时准确的艺术,
EDN,EDN,
"November 19, 1998",1998年11月19日,
Methods for Measuring Op Amp Settling Time,运算放大器建立时间测量方法,
Application Note 10,应用笔记10,
July 1985,1985年7月,
"Demerow, R.",R. 德梅罗,
Settling Time of Operational Amplifiers,运算放大器建立时间,
Analog Dialogue,模拟对话,
Volume 4-1,第4卷第1期,
"Analog Devices, Inc.",ADI公司,
1970,1970年,
"Pease, R.A.",R.A. 皮斯,
The Subtleties of Settling Time,建立时间的细微之处,
The New Lightning Empiricist,新闪电经验主义者,
Teledyne Philbrick,泰克迪恩-菲尔布里克,
June 1971,1971年6月,
"Harvey, Barry",巴里·哈维,
Take the Guesswork Out of Settling Time Measurements,消除建立时间测量中的猜测成分,
"September 19, 1985",1985年9月19日,
Settling Time Measurement Demands Precise Test Circuitry,建立时间测量要求精密测试电路,
"November 15, 1984",1984年11月15日,
"Schoenwetter, H.R.",H.R. 舍恩韦特,
High-Accuracy Settling Time Measurements,高精度建立时间测量,
IEEE Transactions on Instrumentation and Measurement,IEEE仪器与测量汇刊,
"Vol. IM-32, No.1",第IM-32卷第1期,
March 1983,1983年3月,
"Sheingold, D.H.",D.H. 谢因戈尔德,
DAC Settling Time Measurement,DAC建立时间测量,
Analog-Digital Conversion Handbook,模数转换手册,
Prentice-Hall,普伦蒂斯霍尔出版社,
1986,1986年,
30 Nanosecond Settling Time Measurement for a Precision Wideband Amplifier,精密宽带放大器30纳秒建立时间测量,
Application Note 79,应用笔记79,
September 1999,1999年9月,
Evaluating Oscilloscope Overload Performance,评估示波器过载性能,
Box Section A,附录A栏,
"Orwiler, Bob",鲍勃·奥维勒,
Oscilloscope Vertical Amplifiers,示波器垂直放大器,
Concept Series,概念系列,
1969,1969年,
"Addis, John",约翰·阿迪斯,
Fast Vertical Amplifiers and Good Engineering,快速垂直放大器与优秀工程实践,
"Analog Circuit Design; Art, Science and Personalities",模拟电路设计：艺术、科学与人物,
Butterworth-Heinemann,巴特沃斯-海涅曼出版社,
1991,1991年,
"Travis, W",W. 特拉维斯,
Settling Time Measurement Using Delayed Switch,利用延迟开关进行建立时间测量,
1984,1984年,
Hewlett-Packard,惠普公司,
"Schottky Diodes for High-Volume, Low Cost Applications",用于大批量低成本应用的肖特基二极管,
Application Note 942,应用笔记942,
Hewlett-Packard Company,惠普公司,
1973,1973年,
"Korn, G.A.",G.A. 科恩,
"Korn, T.M.",T.M. 科恩,
Electronic Analog and Hybrid Computers,电子模拟与混合计算机,
Diode Switches,二极管开关,
McGraw-Hill,麦格劳-希尔出版社,
1964,1964年,
"Carlson, R.",R. 卡尔森,
A Versatile New DC-500 MHz Oscilloscope with High Sensitivity and Dual Channel Display,一款新型多功能DC–500MHz高灵敏度双通道显示示波器,
January 1960,1960年1月,
Sampling Note,采样说明,
Type 1S1 Sampling Plug-In Operating and Service Manual,1S1型取样插件操作与维修手册,
1965,1965年,
"Mulvey, J.",J. 马尔维,
Sampling Oscilloscope Circuits,取样示波器电路,
Sampling Oscilloscopes,采样示波器,
February 1991,1991年2月,
Techniques and Equipment for Current Measurement,电流测量技术与设备,
Step-Down Switching Regulators,降压型开关稳压器,
Application Note 35,应用笔记35,
August 1989,1989年8月,
Butterworths,巴特沃斯出版社,
"Brown, Lloyd A.",劳埃德·A·布朗,
The Story of Maps,地图的故事,
"Little, Brown",利特尔与布朗出版社,
"Boston, Massachusetts",美国马萨诸塞州波士顿,
1949,1949年,
"Willsberger, Johann",约翰内斯·威尔斯贝格尔,
Clocks and Watches,钟表,
Dial Press,戴尔出版社,
"Mercer, Vaudrey",沃德里·默瑟,
John Arnold and Son – Chronometer Makers 1762–1843,约翰·阿诺德父子——精密计时器制造者（1762–1843）,
Antiquarian Horological Society,古董钟表学会,
1972,1972年,
About Probes and Oscilloscopes,关于探头与示波器,
High Speed Comparator Techniques,高速比较器技术,
Application Note 13,应用笔记13,
April 1985,1985年4月,
"Weber, Joe",乔·韦伯,
Oscilloscope Probe Circuits,示波器探头电路,
"Gilbert, Barrie",巴里·吉尔伯特,
Where Do Little Circuits Come From,小型电路从何而来,
Should Ohm’s Law Be Repealed?,欧姆定律应被废除吗？,
Simple Techniques Fine-Tune Sample-Hold Performance,简易技术优化采样保持性能,
"November 12, 1981",1981年11月12日,
"Bunze, V.",V. 本策,
Matching Oscilloscope and Probe for Better Measurements,匹配示波器与探头以实现更佳测量,
Electronics,电子学,
"March 1, 1973",1973年3月1日,
High Speed Amplifier Techniques,高速放大器技术,
Application Note 47,应用笔记47,
August 1991,1991年8月,
"Dendinger, S.",S. 登丁格,
One IC Makes Precision Sample and Hold,单片集成电路实现精密采样保持,
"May 20, 1977",1977年5月20日,
"Pease, R. A.",R. A. 皮斯,
Amplitude to Frequency Converter,幅度-频率转换器,
"U.S. patent #3,746,968","美国专利第3,746,968号",
Filed September 1972,1972年9月提交申请,
"Baker, R. H.",R. H. 贝克尔,
Boosting Transistor Switching Speed,提升晶体管开关速度,
Vol. 31,第31卷,
1957,1957年,
"Schottky Diodes for High Volume, Low Cost Applications",用于大批量低成本应用的肖特基二极管,
Trigger Circuit—Peak-Peak Automatic Operation,触发电路——峰-峰值自动操作,
Model 2235 Oscilloscope Service Manual,2235型示波器维修手册,
1983,1983年,
Circuit Techniques for Clock Sources,时钟源电路技术,
Application Note 12,应用笔记12,
October 1985,1985年10月,
Pins 13 and 7,13号引脚和7号引脚,
Pin 3,3号引脚,
Pin 18,18号引脚,
negative feedback loop,负反馈环路,
Pin 5,引脚5,
LT1011,LT1011,
Figure 26.16,图26.16,
linear region,线性区,
rail voltages,电源轨电压,
low frequency integrator,低频积分器,
DC equivalent value,直流等效值,
Pin 16,16号引脚,
Pins 14 and 8,14号引脚和8号引脚,
feedback capacitor,反馈电容,
low bias current,低偏置电流,
correction cycles,校正周期,
comparator offset,比较器失调,
Figure 26.17,图26.17,
sine wave,正弦波,
Trace A,波形A,
Trace B,波形B,
Trace C,波形C,
Trace D,波形D,
zero command,零点校准指令,
status output,状态输出,
normal mode,正常模式,
50ns delay,50纳秒延迟,
